=================================================================
= 			   REJUVENATION 13.5 MUSIC TRACK LIST 				=
=================================================================
=						      NOTE:								=
=  Some files have incorrect metadata, so do not use the file	=
= explorer as a point of reference. Only this file has all the	=
=  correct song titles and list of people responsible for the	=
= tracks/remixes, or the game where it originates from if it's	=
=                      not a remixed song.						=
=																=
=  PLEASE do not use the tracks that are listed as custom made	=
=  in your own fangame. These are custom made for Rejuvenation	=
=        and are not available for reuse in other games.		=
=																=
=  If you want to use the custom tracks for unrelated purposes,	=
=	  like BGM in a video, a music modpack in a non-fangame,	=
=  using it for charting in rhythm games etc. this is usually	=
=	fine! But if you're	unsure, you can always contact Zumi		=
=					at honnojisart@gmail.com.					=
=																=
=			       Thank you for understanding!					=
=================================================================


= IN-GAME TITLE =							= ORIGINAL TRACK NAME =						= ARTIST/GAME ORIGIN =			= CUSTOM MADE? =
======================================================================================================================================

Bad Mood - Club REM							Team Rocket Hideout (Deep House Remix)		RoboRob								NO
Bad Mood - Club REM (Part 2)				Team Rocket Hideout (Deep House Remix)		RoboRob								NO
Bad Mood - GuiltyOrNah						Lisia's theme (Remix)						Mewmore								NO
Bad Mood - Hunt								Battle! Giratina (Remix)					Mewmore								NO
Bad Mood - Hunt (Part 2)					Battle! Giratina (Remix)					Mewmore								NO
Bad Mood - The System Binds Us				Axiom Waltz (Piano Ver.)					Zumi (Honnojis)						YES
Bad Mood - The System Binds Us (Part 2)		Axiom Waltz									Zumi (Honnojis)						YES 
Battle - Ana's Lament						Ana's Lament								GlitchxCity							YES
Battle - Angie								Leader Angie Battle Theme					GlitchxCity							YES
Battle - Boss								Vs! Boss (Xenogene)							Zumi (Honnojis)						YES
Battle - Club								Penny Battle Theme (Remix)					GlitchxCity							NO
Battle - Conclusive							Guardian Deities Battle (Remix)				GlitchxCity							NO
Battle - Conclusive							Chairman Rose Battle (Remix)				GlitchxCity							NO
Battle - Dimensional Rift					Dimensional Rift Battle						GlitchxCity							YES
Battle - End of Night						Lavender Town (2nd Remix)					Mewmore								NO
Battle - Final Duel							Fight with Yveltal and Others!				Super Mystery Dungeon				NO
Battle - Final Endeavor						Multi-Mash Remix (Soft-Release)				GlitchxCity							NO
Battle - Flora								VS! Splicer Admin							Zumi (Honnojis)						YES
Battle - Giratina							Battle! Volo & Giratina - Revival			Legends Arceus						NO
Battle - Gyms								Rejuvenation Gym Leader Battle				GlitchxCity							YES
Battle - Insanity							The Night's Shade (Halloween Remix)			GlitchxCity							NO
Battle - Intense							Lusamine Battle (Remix)						GlitchxCity							NO
Battle - Legendary							Ultra Necrozma (Remix)						GlitchxCity							NO
Battle - Lonely Moon						Crescent Battle								GlitchxCity							NO
Battle - Lucile								VS! Gym Leader (Xenogene)					Zumi (Honnojis)						YES
Battle - Machine							VS! Team Splicer Grunt (Xenogene)			Zumi (Honnojis)						YES
Battle - Master of Nightmares				VS! The Master of Nightmares				Zumi (Honnojis)						YES
Battle - Master of Nightmares (Chiptune)	VS! The Master of Nightmares (Chiptune)		Zumi (Honnojis)						YES
Battle - Mini Boss							Sinnoh Gym Leader Battle (Remix)			GlitchxCity							NO
Battle - Monstrosity						VS! Monstrosity 2023 (Xenogene)				Zumi (Honnojis)						YES
Battle - Mysterious Figures					Mysterious Figures Battle					GlitchxCity							YES
Battle - Nightmares							Guzma Battle (Remix)						GlitchxCity							NO
Battle - Nightmare 1						Battle! Alola Elite Four 					Masters								NO
Battle - Paradox							Paradox Pokémon Battle (Remix)				CatchDalgo							NO
Battle - Protector of Aevium				Angie Battle Theme (Stripped-down)			GlitchxCity							YES
Battle - Pseudo Contribution				Johto Gym Leader Battle (V2 Remix)			GlitchxCity							NO
Battle - Pseudo Gym							Johto Gym Leader Battle (Remix)				GlitchxCity							NO
Battle - Rival								Bede Battle (Remix)							GlitchxCity							NO
